Column Name,Data Type,First Value
topic,object,/tf
time,int64,1713980655902416207
size,int64,103
msg_type,object,
_id.$oid,object,66310ffc7ae1f4a1c6c6e859
metadataID.$oid,object,66310ffc7ae1f4a1c6c6e856
transforms,object,"[{'header': {'timestampSec': 1713980655.89, 'frameId': 'world'}, 'childFrameId': 'localization', 'transform': {'translation': {'x': 404301.2146566397, 'y': 4352934.69266155, 'z': 182.01320662615424}, 'rotation': {'qx': -0.006289669959203001, 'qy': -0.007187099408131474, 'qz': -0.8244826136304465, 'qw': 0.5658066856047301}}}]"
